** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207266	  995.7	  621.1	 2347.0	...
1207267	  995.8	  620.1	 2346.0	...
1207268	  995.0	  620.1	 2341.0	...
1207269	  994.5	  623.2	 2343.0	...
1207270	  995.3	  620.3	 2346.0	...
1207271	  995.6	  620.5	 2341.0	...
SFIX L   1207272
1207272	  995.2	  620.7	 2337.0	...
1207273	  994.4	  625.7	 2337.0	...
1207274	  996.5	  626.7	 2348.0	...
1207275	  995.1	  626.8	 2348.0	...
1207276	  995.3	  625.8	 2336.0	...
1207277	  996.0	  624.9	 2341.0	...
1207278	  996.6	  624.9	 2341.0	...
1207279	  997.0	  624.9	 2343.0	...
1207280	  997.0	  624.8	 2345.0	...
1207281	  996.9	  624.8	 2345.0	...
1207282	  996.8	  625.5	 2345.0	...
MSG	1207283 First run started.
1207283	  996.8	  625.5	 2344.0	...
1207284	  996.8	  625.5	 2345.0	...
1207285	  996.9	  624.9	 2345.0	...
1207286	  998.5	  624.3	 2342.0	...
1207287	  999.1	  620.6	 2339.0	...
1207288	  995.2	  620.6	 2339.0	...
1207289	  995.2	  620.3	 2331.0	...
1207290	  996.8	  620.3	 2334.0	...
1207291	  996.1	  624.7	 2335.0	...
1207292	  996.9	  623.0	 2335.0	...
1207293	  997.4	  622.9	 2333.0	...
1207294	  996.5	  623.0	 2331.0	...
1207295	  995.6	  623.0	 2329.0	...
1207296	  995.8	  621.6	 2329.0	...
1207297	  995.0	  621.6	 2329.0	...
1207298	  994.1	  627.2	 2329.0	...
1207299	  997.1	  627.1	 2322.0	...
1207300	  997.3	  625.6	 2322.0	...
1207301	  996.9	  625.6	 2324.0	...
1207302	  996.4	  628.5	 2326.0	...
1207303	  997.2	  628.5	 2326.0	...
1207304	  997.7	  625.5	 2326.0	...
1207305	  997.6	  625.5	 2331.0	...
